species,accession
L. ocymifolium (Poir.) Kuntze,MH582780
L. oligotrichum Erben & Brullo,MH582770
L. otolepis (Schrenk) Kuntze,MH582792
L. ovalifolium (Poir.) Kuntze,MH582719
L. palmyrense (Post) Dinsm.,MH582729
L. papillatum (Webb & Berthel.) Kuntze,MH582750
L. paulayanum (Vierh.) Ghaz. & J.R.Edm.,MH582757
L. pectinatum var. corculum (Webb & Berthel.) G.Kunkel & Sunding,MW289889
L. pectinatum var. divaricatum (Pit.) G.Kunkel & Sunding,MH582749
L. pectinatum var. solandri (Webb. & Berthel.),MH582751
L. peregrinum (P.J.Bergius) RA.Dyer ,JQ412383
L. perezii (Stapf) Hubbard ex L.H.Bailey,MH582804
L. perfoliatum (Kar. ex Boiss.) Kuntze,MH582793
L. pigadiense (Rech.f.) Rech.f.,MH582689
L. piptopodum Nevski,
L. platyphyllum Lincz.,MH582743
L. plurisquamatum Erben,MH582702
L. preauxii (Webb & Berthel.) Kuntze,MH582805
L. proliferum (d'Urv.) Erben & Bruno,MH582771
L. pruinosum (L.) Chaz.,MH582772
L. pseudebusitanum Erben,KJ608033
L. puberulum (Webb) Kuntze,MH582811
L. purpuratum Hubbard ex L.H.Bailey,MW289884
L. cf. pycnanthum (K. Koch) Kuntze,MH582747
L. pylium R.Artelari,MH582690
L. recticaule Erben & Bruno,MH582773
L. recurvum C.E.Salmon subsp. humile (Girard) Ingr.,MH582703
L. redivivum (Svent.) G.Kunkel & Sunding,MH582807
L. relicticum R.Mesa & A.Santos,MH582806
L. remotispiculum (Lacaita) Pignatti,MH582691
L. reniforme (Girard) Lincz.,
L. rigualii M.B.Crespo & Erben,GQ248628
L. roridum (Sibth. & Sm.) Brullo & Guarino,MH582774
L. santapolense Erben,MW289878
L. saracinatum R.Artelari,MH582692
L. sarcophyllum Ghaz. & J.R.Edm.,MH582760
L. scabrum (Thunb.) Kuntze,AM235050
L. scopulorum M.B.Crespo & Lledo,MH582695
L. sieberi (Boiss.) Kuntze,MH582723
L. sinense (Girard) Kuntze,JQ946306
L. sinuatum (L.) Mill.,MW289902
L. sitiacum Rech.f.,MH582783
L. sogdianum Ikonn.-Gal.,
L. sokotranum (Vierh.) Radcl.-Sm.,MH582758
L. somalorum (Vierh.) Hutch. & E.A.Bruce,MH582761
L. sougiae Erben & Bruno,MH582782
L. sp.1,MH582790
L. sp.2,MH582687
L. spectabile (Svent.) G.Kunkel & Sunding,MW289899
L. spreitzenhoferi Erben & Bruno,MH582775
L. stenotatum (Rech.f.) Erben & Bruno,MH582786
L. stocksii (Boiss.) Kuntze,
L. subglabrum Erben,MH582711
L. suffruticosum (L.) Kuntze,MH582728
"L. sundingii Leyens, Lobin, N.Kilian & Erben",MW289891
L. supinum (Girard) Pignatti,MH582697
L. sventenii A. Santos &M.L.Fernandez,MW289900
L. tabernense Erben,MH582714
L. tamaricoides Bokhari,
L. tenellum (Turcz.) Kuntze,MW289904
L. tetragonum (Thunb.) Bullock,MH582797
L. thiniense Erben,GQ248629
L. toletanum Erben,MH582726
L. tomentellum (Boiss.) Kuntze,MH582744
L. tournefortii (Boiss.) Erben,MH582706
L. tuberculatum (Boiss.) Kuntze,MW289896
L. tubiflorum (Del.) Kuntze,
L. tunetanum (Barratte)Maire,MH582712
L. vanandense Erben & Brullo,MH582776
L. vigaroense Marrero Rodr. & RS.Almeida,MH582813
L. virgatum (Willd.) Fourr.,KJ608053
L. vulgare Mill.,MW289887
L. vulgare (eduardi-diasii Fdez. Prieto & C. Aguiar sp. nova. ined.),MH582735
L. wrightii (Hance) Kuntze,MH582799
L. xerocamposicum Erben & Brullo,MH582777
L. xiliense Erben & Brullo,MH582778
