branch_name	branch_id	S_sub	N_sub	branch_length	is_fg	is_mg
resinosa	118	0.0000	0.9987	0.0000	yes	no
rigida	119	1.0000	1.0000	0.0000	yes	no
roxburghii	120	0.0000	0.0000	0.0000	yes	no
Node65	121	0.0000	0.0000	0.0000	yes	no
Node64	122	0.0000	0.0000	0.0000	yes	no
Node63	123	0.0000	0.9824	0.0000	yes	no
Node62	124	0.0000	0.0360	0.0000	yes	no
rzedowskii	125	0.0000	0.8266	0.0000	yes	no
Node75	126	0.0000	0.2895	0.0000	yes	no
Node68	127	3.7359	2.6231	0.0088	yes	no
Node67	128	0.3757	0.3098	0.0000	yes	no
sabiniana	129	0.0000	0.0000	0.0000	yes	no
Node45	130	0.0000	0.0000	0.0000	yes	no
Node44	131	0.0000	0.0000	0.0000	yes	no
serotina	132	0.0000	0.0000	0.0000	yes	no
Node31	133	0.0000	0.0000	0.0000	yes	no
Node30	134	0.0000	0.0018	0.0000	yes	no
sibirica	135	0.0000	0.0000	0.0000	yes	no
Node96	136	0.0000	0.0000	0.0000	yes	no
Node95	137	0.0000	0.4389	0.0000	yes	no
Node93	138	0.0008	0.4926	0.0000	yes	no
squamata	139	4.0010	5.0019	0.0075	yes	no
Node1	140	0.0021	0.0092	0.0000	yes	no
Node2	141	0.0010	0.0087	0.0000	yes	no
strobiform	142	0.0000	0.0000	0.0000	yes	no
Node101	143	0.5407	0.0000	0.0000	yes	no
Node100	144	0.4594	0.9989	0.0000	yes	no
Node99	145	0.0000	0.0022	0.0000	yes	no
strobus	146	1.0000	1.0011	0.0000	yes	no
Node102	147	0.0000	0.0022	0.0000	yes	no
Node98	148	0.0000	0.0022	0.0000	yes	no
Node97	149	0.0000	0.0042	0.0000	yes	no
sylvestris	150	0.0028	0.6422	0.0000	yes	no
Node60	151	0.7526	1.4371	0.0000	yes	no
Node59	152	1.3624	1.6969	0.0078	yes	no
tabuliform	153	0.0000	0.0000	0.0000	yes	no
taeda	154	2.0000	2.9999	0.0142	yes	no
Node29	155	0.0000	0.0001	0.0000	yes	no
taiwanensi	156	1.0000	0.0000	0.0019	yes	no
Node56	157	0.0000	0.0000	0.0000	yes	no
Node55	158	0.0000	0.0000	0.0000	yes	no
tecunumani	159	0.0000	1.0000	0.0000	yes	no
Node28	160	0.0000	0.0000	0.0000	yes	no
teocote	161	0.0000	0.0000	0.0000	yes	no
Node27	162	0.0000	0.0000	0.0000	yes	no
Node26	163	0.0000	1.0000	0.0000	yes	no
Node19	164	0.0000	0.0000	0.0000	yes	no
Node18	165	1.0000	1.0000	0.0060	yes	no
Node17	166	0.0000	0.0000	0.0000	yes	no
Node15	167	0.0000	0.0001	0.0000	yes	no
Node14	168	0.0000	0.1961	0.0000	yes	no
Node13	169	1.0000	0.8058	0.0047	yes	no
Node12	170	0.0001	0.9636	0.0000	yes	no
thunbergii	171	0.3707	0.1130	0.0000	yes	no
Node58	172	0.5562	0.2822	0.0000	yes	no
Node57	173	0.4010	0.3425	0.0000	yes	no
virginiana	174	0.0000	0.0000	0.0000	yes	no
Node33	175	1.9987	5.0972	0.0243	yes	no
Node32	176	6.0000	5.1311	0.0658	yes	no
Node11	177	0.0002	0.0347	0.0000	yes	no
Node8	178	3.9999	3.0000	0.0248	yes	no
Node7	179	0.0000	0.0000	0.0000	yes	no
Node6	180	3.9999	6.9759	0.0120	yes	no
wallichian	181	0.0000	0.0000	0.0000	yes	no
wangii	182	0.0000	0.0000	0.0000	yes	no
Node89	183	0.0000	0.0000	0.0000	yes	no
Node88	184	0.0000	0.0000	0.0000	yes	no
Node87	185	0.0000	0.0000	0.0000	yes	no
Node86	186	0.0000	0.0000	0.0000	yes	no
Node85	187	0.0008	0.4396	0.0000	yes	no
Node84	188	0.0015	0.4927	0.0000	yes	no
Node83	189	3.9992	2.5636	0.0053	yes	no
Node82	190	0.0000	2.0064	0.0000	yes	no
Node81	191	0.0000	0.0218	0.0000	yes	no
Node80	192	0.0000	0.0161	0.0000	yes	no
Node3	193	0.2364	0.0093	0.0000	yes	no
Node4	194	0.0000	0.0000	0.0254	yes	no
yunnanensi	195	0.0000	0.0000	0.0000	yes	no
Node54	196	1.0000	0.0014	0.0027	yes	no
Node53	197	0.0000	0.9986	0.0000	yes	no
Node52	198	0.2721	0.7798	0.0000	yes	no
Node51	199	2.6234	1.2343	0.0084	yes	no
Node50	200	0.3528	0.0489	0.0000	yes	no
Node49	201	1.7717	0.9763	0.0047	yes	no
Node48	202	0.0000	0.0028	0.0000	yes	no
Node47	203	0.0000	1.0135	0.0000	yes	no
Node46	204	0.0001	0.0467	0.0000	yes	no
Node5	205	0.0000	0.0000	0.0266	yes	no
Root	206	0.0000	0.0000	0.0000	yes	no
