2,116
2,202
2,208
2,362
4,202
6,91
17,56
17,74
17,202
21,131
21,149
21,316
23,214
23,290
32,103
32,337
32,345
36,51
36,56
36,64
36,79
36,213
36,228
36,337
40,95
40,216
40,290
40,294
40,345
41,309
51,56
51,64
51,79
51,235
51,266
51,337
54,202
56,64
56,74
56,79
56,151
56,202
56,203
56,208
56,254
56,266
56,286
56,337
60,202
64,79
64,266
67,105
67,113
67,149
67,158
67,197
67,280
67,334
67,351
67,362
70,251
74,202
79,228
79,266
79,337
84,121
84,254
84,316
84,353
93,98
95,290
95,345
103,345
105,113
105,158
105,197
105,334
105,351
105,362
113,158
113,197
113,262
113,280
113,334
113,351
113,362
116,362
121,241
121,353
131,149
131,316
136,362
139,256
139,321
149,347
149,353
149,362
151,202
151,203
151,208
151,254
151,281
151,286
151,317
158,197
158,334
158,351
158,362
159,197
197,211
197,334
197,351
197,362
202,203
202,208
202,215
202,254
202,281
202,286
202,317
203,208
203,254
203,281
203,286
203,317
208,254
208,281
208,286
208,317
213,228
214,290
221,298
241,353
243,254
243,345
254,281
254,286
254,316
254,317
254,345
256,321
266,337
280,362
281,286
281,317
286,317
290,345
294,362
316,353
334,351
351,362
