0,254
0,261
0,262
0,269
14,92
14,152
14,220
14,276
16,92
16,152
16,242
25,107
25,144
31,33
31,152
33,68
33,76
33,92
33,121
33,152
33,224
33,227
33,262
35,147
35,250
68,76
68,121
68,145
68,187
68,198
68,227
68,229
75,81
76,227
81,92
81,141
81,254
81,272
92,110
92,135
92,152
92,220
92,224
92,225
92,242
92,276
99,276
107,144
121,145
121,187
121,198
121,227
121,229
121,290
123,277
127,265
135,152
135,220
135,225
135,276
141,272
145,187
145,198
145,286
147,250
152,242
152,262
152,276
160,174
169,242
187,198
220,276
223,255
224,276
225,276
227,290
228,276
242,261
242,289
261,276
282,293
