"missing","source"
"acerifolium","landis"
"caudatum","landis"
"chunii","landis"
"corymbiflorum","landis"
"costaricanum","landis"
"dalzielii","landis"
"garrettii","landis"
"hainanense","landis"
"hartwegii","landis"
"hondurense","landis"
"junghunii","landis"
"kansuense","landis"
"koreanum","landis"
"longiradiatum","landis"
"orientale","landis"
"shweliense","landis"
"tengyuehense","landis"
"wardii","landis"
