Taxon,rbcL,rps4-trnS,trnG-trnR,trnL-F,trnP-petG,ID
Dryopteris aitoniana Pic. Serm.,KY073633,—,KY073681,KY073696,KY073718,E466
Dryopteris antarctica (Baker) C. Chr.,KY073634,—,—,—,KY073719,E624
Dryopteris aquilinoides (Desv.) C. Chr.,KY073635,—,—,—,KY073720,E634
Dryopteris athamantica (Kunze) Kuntze,—,—,—,KY073697,KY073721,E407
Dryopteris athamantica (Kunze) Kuntze,KY073636,—,—,KY073698,KY073722,E492
Dryopteris azorica (Christ) Alston,KY073637,KY073662,—,KY073699,—,E460
Dryopteris bernieri Tardieu,KY073638,—,—,—,KY073723,E633
Dryopteris bojeri (Baker) Kuntze,KY073639,KY073663,KY073682,—,KY073724,E568
Dryopteris cambrensis Beitel & W.R. Buck,—,—,—,KY073700,—,E425
Dryopteris cognata Kuntze,KY073640,—,—,—,KY073725,E546
Dryopteris comorensis (Tardieu) Fraser-Jenk.,—,KY073664,—,—,—,E628
Dryopteris dracomontana Schelpe,KY073641,KY073665,KY073683,—,KY073726,E635
Dryopteris fadenii Pic. Serm.,KY073642,KY073666,KY073684,KY073701,KY073727,E459
Dryopteris glandulosopaleata J.P.Roux,KY073643,KY073667,—,KY073702,KY073728,E457
Dryopteris inaequalis (Schltdl.) Kuntze,—,—,KY073685,KY073703,KY073729,E401
Dryopteris inaequalis (Schltdl.) Kuntze,KY073644,—,—,—,KY073730,E632
Dryopteris katangaensis J.P.Roux,KY073645,KY073668,KY073686,KY073704,KY073731,E626
Dryopteris kilemensis (Kuhn) Kuntze,KY073646,KY073669,KY073687,KY073705,KY073732,E489
Dryopteris kilemensis (Kuhn) Kuntze,KY073647,—,—,KY073706,—,E505
Dryopteris lewalleana Pic. Serm.,—,—,—,KY073707,—,E500
Dryopteris lewalleana Pic. Serm.,KY073648,KY073670,—,—,KY073733,E501
Dryopteris lewalleana Pic. Serm.,KY073649,KY073671,KY073688,—,KY073734,E637
Dryopteris manniana (Hook.) C. Chr.,KY073650,KY073672,KY073689,KY073708,KY073735,E510
Dryopteris napoleonis Kuntze,—,KY073673,KY073690,—,KY073736,E509
Dryopteris occidentalis J.P. Roux,KY073651,KY073674,KY073691,KY073709,KY073737,E458
Dryopteris oligodonta Pic.Serm.,KY073652,—,KY073692,—,KY073738,E640
Dryopteris pallida Fomin,KY073653,—,—,KY073710,—,E523
Dryopteris pentheri (Krasser) C. Chr.,—,—,KY073693,KY073711,KY073739,E400
Dryopteris pentheri (Krasser) C. Chr.,KY073654,—,KY073694,—,KY073740,E636
Dryopteris schimperiana (Hochst. ex A. Braun) C. Chr.,—,—,KY073695,KY073712,KY073741,E405
Dryopteris schimperiana (Hochst. ex A. Braun) C. Chr.,—,—,—,KY073713,—,E527
Dryopteris schimperiana (Hochst. ex A. Braun) C. Chr.,KY073655,KY073675,—,—,KY073742,E639
Dryopteris schnellii Tardieu,KY073656,—,—,—,KY073743,E455
Dryopteris squamiseta (Hook.) Kuntze,KY073657,KY073676,—,KY073714,—,E504
