Taxon,Subsp_var,Label
Dryopteris decipiens,NA,NA
Dryopteris erythrosora,NA,NA
Dryopteris podophylla,NA,NA
Dryopteris integriloba,NA,NA
Dryopteris championii,NA,NA
Dryopteris medioxima,NA,NA
Dryopteris kinkiensis,NA,NA
Dryopteris lepidorachis,NA,NA
Dryopteris shibipedis,NA,NA
Dryopteris tsoongii,NA,NA
Dryopteris simasakii,var. paleacea,NA
Dryopteris fuscipes,NA,NA
Dryopteris tsugiwoi,NA,NA
Dryopteris wattsii,NA,NA
Dryopteris formosana,NA,NA
Dryopteris apiciflora,NA,NA
Dryopteris transmorrisonensis,NA,NA
Dryopteris clarkei,NA,NA
Dryopteris kawakamii,NA,NA
Dryopteris cyclopeltidiformis,NA,NA
Dryopteris heterolaena,NA,NA
Dryopteris bissetiana,NA,NA
Dryopteris insularis,var. chichisimensis,NA
Dryopteris insularis,var. insularis,NA
Dryopteris varia,NA,NA
Dryopteris pacifica,NA,NA
Dryopteris protobissetiana,NA,NA
Dryopteris saxifraga,NA,NA
Dryopteris saxifragivaria,NA,NA
Dryopteris setosa,NA,NA
Dryopteris chinensis,NA,NA
Dryopteris sacrosancta,NA,NA
Dryopteris dehuaensis,NA,NA
Dryopteris hadanoi,NA,NA
Dryopteris sordidipes,NA,NA
Dryopteris diffracta,NA,NA
Dryopteris hasseltii,NA,NA
Dryopteris subreflexipinna,NA,NA
Dryopteris polita,NA,NA
Dryopteris cinnamomea,NA,NA
Dryopteris sororia,NA,NA
Dryopteris knoblochii,NA,NA
Dryopteris rossii,NA,NA
Dryopteris rosea,NA,NA
Dryopteris flaccisquama,NA,NA
Dryopteris huberi,NA,NA
Dryopteris patula,NA,NA
Dryopteris saffordii,NA,NA
Dryopteris futura,NA,NA
Dryopteris nubigena,NA,NA
Dryopteris maxonii,NA,NA
Dryopteris karwinskyana,NA,NA
Dryopteris fragrans,NA,NA
